01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,757,1,6689920,0,0,255850,2916339,20
2,apalache,NoError,715,1,7178440,0,0,241134,2878496,21
3,apalache,NoError,580,1,7177956,0,0,227772,2854964,21
4,apalache,NoError,1492,1,10086952,0,0,346159,4446361,21
5,apalache,NoError,1258,1,10645452,0,0,329305,4393688,21
6,apalache,NoError,3344,1,13707364,0,0,560069,9236533,20
7,apalache,NoError,3288,1,13834196,0,0,531012,9216485,21
8,apalache,NoError,2927,1,13611468,0,0,508797,9012976,21
9,apalache,NoError,11050,1,17577780,0,0,1002795,20568977,20
10,apalache,NoError,9356,1,17517792,0,0,940114,20062564,20
11,apalache,NoError,286,0,4137892,0,0,148963,2161260,17
12,apalache,NoError,849,0,17076088,0,0,2789102,8311118,10
13,apalache,NoError,1435,0,23125812,0,0,6317013,16529247,10
14,apalache,NoError,468,0,5417264,0,0,212357,3324811,17
15,apalache,NoError,1397,0,21924168,0,0,4326480,12872129,10
16,apalache,NoError,1242,0,9435876,0,0,374517,7397022,16
17,apalache,Fail,2612,0,27951008,0,0,172254,3647560,17
18,apalache,Fail,2625,0,28354920,0,0,160287,3600511,17
19,apalache,NoError,3172,0,16896056,0,0,734069,17072460,16
20,apalache,Fail,3873,0,30181108,0,0,341439,8450107,16
21,apalache,NoError,12,0,594592,0,0,5622,33845,23
22,apalache,NoError,17,0,860608,0,0,9690,68116,23
23,apalache,NoError,25,0,1062868,0,0,12757,104964,22
24,apalache,NoError,13,0,766340,0,0,5784,36940,25
25,apalache,NoError,20,0,810136,0,0,9852,73824,25
26,apalache,NoError,24,0,1034140,0,0,10220,85339,28
27,apalache,NoError,33,0,1105020,0,0,14267,131054,28
28,apalache,NoError,44,0,1365304,0,0,18352,180731,27
29,apalache,NoError,45,0,1349440,0,0,14797,155936,32
30,apalache,NoError,55,0,1755904,0,0,18844,213416,31
